reference,URL,order,taxa,lat,lon,mean_raw,sex,life_stage,length_mm,dry_weight_mg
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,7.122,2.635
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,8.133,2.423
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,8.822,3.163
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,9.089,3.481
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,9.533,3.433
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,10.111,2.558
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,8.767,1.654
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,9.244,1.115
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,11.878,4.452
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,7.089,0.817
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,7.022,0.74
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,6.122,0.798
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,5.8,0.548
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,5.433,0.433
Maehrlein_2016,DOI 10.1007/s10750-015-2526-24,Crustacea,Asellus aquaticus,52.25,14.05,R,,,5.022,0.269
